Category,Title,Brand,Price (INR),Rating,Review Count,Product Badge,Product URL,Image URL,Delivery Info,Discount
laptop,"HP Smartchoice Omen AMD Ryzen 7 7840Hs, 8GB RTX 4060 (16GB DDR5, 1TB SSD) FHD, 165Hz, 300Nits, IPS, 16.1''/40.9cm, Win11, Office 21, Black, 2.32kg, Xd0020ax, RGB kb, Tempest Cooling, AI Gaming Laptop",,,4.0 out of 5 stars,228,,,https://m.media-amazon.com/images/I/715WLPCIrIL._AC_UY218_.jpg,,
laptop,"Walker Best Student &Office Work Laptop|Thin & Light|14.1"" 1920 * 1080 Resolution FHD IPS Display |4GB RAM,128GB SSD|Celeron Processor N4020 (Gemini Lake)| Windows 11 Home | Silver",,,3.4 out of 5 stars,135,,,https://m.media-amazon.com/images/I/61zWFTCfWeL._AC_UY218_.jpg,,
laptop,"HP 15 (2025), Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Ash Grey/1.5 kg/MS Office 2021",,,5.0 out of 5 stars,1,,,https://m.media-amazon.com/images/I/71sxKjBSHKL._AC_UY218_.jpg,,
laptop,"Cable World Educational Laptop Computer Toy Educational Computer for Kids Above 3 Years - 20 Fun Activity Learning Machine, Now Learn Letter, Words, Games, Mathematics, Music, Logic, Memory Tool,Blue",,,3.8 out of 5 stars,"3,666",,,https://m.media-amazon.com/images/I/61ERcyHgZxL._AC_UY218_.jpg,,
laptop,"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty",,,4.0 out of 5 stars,61,,,https://m.media-amazon.com/images/I/519RoeX1P4L._AC_UY218_.jpg,,
laptop,"Lenovo {Smartchoice} Idea Tab Pro with Pen Plus|12.7"" 3K Display|144 Hz Refresh|12 GB RAM, 256 GB ROM| AI-Enabled| MediaTek Dimensity 8300|Quad JBL Speakers|10200 mAh Battery with 45 W Charger|WiFi 6e",,,4.3 out of 5 stars,234,,,https://m.media-amazon.com/images/I/71+IIjxsVsL._AC_UY218_.jpg,,
laptop,"HP 15, 13th Gen Intel Core i7-1355U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, 15.6’’/39.6cm, Win11, M365 Basic(1yr)* Office 24, Silver, 1.59kg, fd0468tu, Iris Xe, FHD Camera w/Shutter, Backlit Laptop",,,3.5 out of 5 stars,18,,,https://m.media-amazon.com/images/I/71pBjVL7QtL._AC_UY218_.jpg,,
laptop,"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 14"" (35.5cm) WUXGA-OLED 400Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/MSO 21/FHD+IR Cam/1Yr ADP Free/3Mon Game Pass/Grey/1.4Kg), 83DA0049IN",,,3.9 out of 5 stars,52,,,https://m.media-amazon.com/images/I/816n9hBWHEL._AC_UY218_.jpg,,
laptop,"Lenovo IdeaPad Pro 5, Intel Core Ultra 9 185H, 32GB RAM, 1TB SSD, 2.8K-OLED 400Nits 120Hz, 14""/35.5cm, Windows 11, MS Office 21, Grey, 1.4Kg, 83D2001GIN,IntelArc GPU, FHD+IRCam, AI Powered Laptop",,,4.2 out of 5 stars,141,,,https://m.media-amazon.com/images/I/81Ev2S5nrVL._AC_UY218_.jpg,,
smartphone,"Samsung Galaxy M36 5G (Serene Green, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography",,,5.0 out of 5 stars,1,,,https://m.media-amazon.com/images/I/61CK00kuV5L._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"iQOO Z10x 5G (Ultramarine, 8GB RAM, 256GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Durability",,,4.3 out of 5 stars,"2,051",,,https://m.media-amazon.com/images/I/61HEAjUp1tL._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",,,4.0 out of 5 stars,"4,640",,,https://m.media-amazon.com/images/I/81T3olLXpUL._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"POCO C75 5G, Enchanted Green (4GB, 64GB)",,,4.2 out of 5 stars,151,,,https://m.media-amazon.com/images/I/61HGhIw9m2L._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"POCO M7 5G, Satin Black (6GB, 128GB)",,,4.0 out of 5 stars,79,,,https://m.media-amazon.com/images/I/71EfJ+H1uRL._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",,,4.0 out of 5 stars,"3,847",,,https://m.media-amazon.com/images/I/71r0Ysx+oVL._AC_UY218_.jpg,"Sat, 19 Jul",
smartphone,"realme 13 Pro 5G Smartphone 12+512GB Gold,6.7inch Screen,120HZ Curved Vision Display,5200mAh Battery,82MP Camera,Qualcomm Snapdragon 7s Gen2,ip65",,,4.4 out of 5 stars,453,,,https://m.media-amazon.com/images/I/71qSB43fP0L._AC_UY218_.jpg,,
smartphone,"Samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 256GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",,,4.0 out of 5 stars,"1,600",,,https://m.media-amazon.com/images/I/71qQjZc6wyL._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen. of OS Upgrades | Without Charger",,,3.8 out of 5 stars,"1,491",,,https://m.media-amazon.com/images/I/718tAI-i2uL._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"OnePlus 13 | Smarter with OnePlus AI | Lifetime Display Warranty (16GB RAM, 512GB Storage Black Eclipse)",,,4.5 out of 5 stars,"1,460",,,https://m.media-amazon.com/images/I/715k0WQtg9L._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"iQOO Neo 10R 5G (Moonknight Titanium, 12GB RAM, 256GB Storage) | Snapdragon 8s Gen 3 Processor | India's Slimmest 6400mAh Battery Smartphone | Segment's Most Stable 90FPS for 5 Hours",,,4.4 out of 5 stars,"1,850",,,https://m.media-amazon.com/images/I/610NUM9jlxL._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"Xiaomi 15 (White, 12GB/512GB)| 50 MP Leica Triple Camera | SD 8 Elite | 1.5K CrystalRes Dynamic 1-120 Hz AMOLED | Hyper AI",,,4.4 out of 5 stars,182,,,https://m.media-amazon.com/images/I/61+unAVMvUL._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,POCO M6 Plus 5G Misty Lavender 8GB RAM 128GB ROM,,,3.9 out of 5 stars,508,,,https://m.media-amazon.com/images/I/71vkB1WIouL._AC_UY218_.jpg,"Fri, 18 Jul",
smartphone,"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen. of OS Upgrades | Without Charger",,,3.8 out of 5 stars,"1,491",,,https://m.media-amazon.com/images/I/71s6rRbgfuL._AC_UY218_.jpg,"Mon, 21 Jul",
smartphone,"Motorola Edge 50 Fusion 5G (Forest Blue, 12GB RAM, 256GB Storage)",,,4.0 out of 5 stars,"1,506",,,https://m.media-amazon.com/images/I/71ZJ6bsARtL._AC_UY218_.jpg,17 - 18 Jul,
smartphone,"HONOR 200 5G (8GB+256GB, Moonlight White) – 50MP+50MP+12MP Triple Camera with Dual OIS | 50MP Selfie | Quad-Curved AMOLED Display | AI-Powered MagicOS 9.0 | Without Charger",,,4.1 out of 5 stars,"1,696",,,https://m.media-amazon.com/images/I/71nro9DdXcL._AC_UY218_.jpg,"Fri, 18 Jul",
